"Country.Code","C02_emitions","Year","Electricity.from.coal..TWh.","Electricity.from.gas..TWh.","Electricity.from.hydro..TWh.","Electricity.from.other.renewables..TWh.","Electricity.from.solar..TWh.","Electricity.from.oil..TWh.","Electricity.from.wind..TWh.","Electricity.from.nuclear..TWh.","Population","Forest","Annual_Net_Saving","AQI.Value","CO.AQI.Value","Ozone.AQI.Value","NO2.AQI.Value","PM2.5.AQI.Value"
"EST",5.33839981587368,2020,0,0.052646958,0.000705812999999997,1.319777292,0.0397533879999999,4.085226945,0.888554222,0,1329522,57.0385964912281,14.2637729938878,42.5714285714286,1.28571428571429,30.4285714285714,1.85714285714286,34.2857142857143
"FIN",6.57014512772575,2020,3.44324998,3.821802777,15.19017301,10.7382249999999,0.090225,3.280752877,7.667028342,23.2257844329999,5529543,73.7283674409423,10.685782079631,39.46875,1.109375,31.09375,2.015625,23.21875
"FRA",3.95368245187991,2020,4.275487201,34.245559595,62.064907329,8.786581938,13.190056511,11.526363411,39.231955823,355.19080354,67571107,31.5090483730461,5.92837098927895,52.3193832599119,1.03303964757709,31.3237885462555,2.59471365638767,50.2577092511013
"GBR",4.60114225090135,2020,5.318667547,111.652725515,6.596227084,35.4774963459999,13.353778187,7.48454747999999,73.77557252,51.817455551,67081234,13.1856322076634,NA,38.9008810572687,0.698237885462555,27.7290748898678,3.47356828193833,35.215859030837
"GRC",4.76718493701839,2020,7.39007119999999,17.760469398,3.78694093899999,0.31407,4.353978802,5.827281,8.900746175,0,10698599,30.2699767261443,-7.04737985599571,73.6,1,44.4,0,68
"HRV",3.86070539173057,2020,1.239508535,3.28940909,5.57646255599999,0.930836183999999,0.080071245,0.042655294,1.564796547,0,4047680,34.6517155110793,6.81326666011052,57.9090909090909,1.04545454545455,44.4545454545455,0.5,51.6363636363636
"HUN",4.59165290704788,2020,3.59288616299999,8.846830381,0.270933187,2.40708699999999,1.61932301,0.348964884,0.655948946,16.064524821,9750149,22.4962743808898,11.4649432664901,62.4255319148936,1,43.3829787234043,1.1063829787234,60.5531914893617
"IND",1.57609323191648,2020,946.932299999999,52.1117099999999,163.513999999999,15.58387,58.72905,0.133,60.41475,44.54833,1396387127,24.270228273336,14.4411360277761,142.734256926952,1.69899244332494,53.9748110831234,1.76952141057935,140.110831234257
"IRL",6.76822759018266,2020,0.739090668,16.3932958119999,0.914715811,0.844058,0.016656,1.616891318,11.1141336449999,0,4985382,11.3517201335462,14.1575555567503,40.8148148148148,0.814814814814815,33.4074074074074,0.888888888888889,35.962962962963
"IRN",7.06335132057733,2020,0.597495353255982,213.159410204999,21.9520125,0.024,0.244,93.7435145868128,0.398,5.866,87290193,6.62673035439137,NA,113.28125,1.21875,69.90625,0.78125,107.6875
"ITA",4.73237277079935,2020,14.964591348,125.63245726,48.0787776579999,25.227532947,26.604418,15.884250066,18.942906198,0,59438851,32.3489349614665,5.48350854525662,61.8406466512702,1.12586605080831,44.0046189376443,2.31293302540416,56.1685912240185
"JPN",8.0314958696668,2020,273.966191443855,294.553856315399,84.9458958769999,67.5758684982,84.451282572,82.6316942051447,10.6245745149999,43.026306704,126261000,68.4087791495199,4.73441170625144,52.7931726907631,1.17469879518072,39.7208835341365,3.73293172690763,42.8453815261044
"KAZ",11.2977433059429,2020,72.1934477845141,19.2235131999923,9.40348,0.0029,1.0773,0.755649847826106,0.941199999999999,0,18755666,1.27965329481053,7.92305046817169,55.5217391304348,1.04347826086957,33.3478260869565,0.782608695652174,52.7826086956522
"KOR",10.9900295814285,2020,191.66551137835,142.492805407727,3.982371594,5.75017161,17.674223877,18.5472416769224,2.942232622,153.13890812,51836239,64.4159836065574,17.636380860062,421,27,0,91,415
"LTU",4.18400041504391,2020,0,1.598955566,0.250423189999999,0.564631299,0.084534766,0.181356801999999,1.512818569,0,2794885,35.1485148514851,11.4015046990944,37,0.785714285714286,33.2857142857143,0.214285714285714,33
"LUX",12.4569532326913,2020,0,0.195271,0.092778,0.217401999999999,0.119725,0.077182,0.254575,0,630419,34.4538272103664,15.2091915549495,26,1,26,2,23
"LVA",3.64561216849281,2020,0.000343,2.26656979599999,2.584770003,0.809702706,0.00127299999999999,0,0.166817739,0,1900449,54.8094166800579,5.10184658752564,40.5294117647059,1,32.7647058823529,0.352941176470588,35.8823529411765
"MEX",3.04076637477226,2020,12.604310318463,181.157272711847,26.557436,7.532763,10.349081,34.0657119696895,19.2689789999999,11.335319,125998302,33.7930913860953,6.75007919585769,86.2484662576687,1.75460122699387,17.521472392638,4.70552147239264,85.8926380368098
"MLT",3.12555789277592,2020,0,1.74538099999999,0,0.008952,0.189576,0.018104,5.8e-05,0,515332,1.4375,NA,49.5,1,48.5,0.833333333333333,35.8333333333333
"MNG",6.43064533509798,2020,6.10000666666666,0,0.09273,0,0.04,0,0.3759,0,3294335,9.09965848797644,-4.42626822219065,52.5714285714286,0.857142857142857,33,0,45
"NGA",0.537510175389551,2020,0,30.8071469033333,7.15176442999999,0.0266133333333333,0.03,0,0.003,0,208327405,23.7457865322749,14.3936994414279,96.9166666666667,3.81944444444444,25.3333333333333,2.29166666666667,96.9166666666667
"NLD",7.4715534787719,2020,8.94012256999999,74.45886832,0.074182,7.8106147,7.91346499999999,5.610203931,15.584991,4.07626897,17441500,10.974160974161,13.6364363297938,38.0188679245283,0.671698113207547,31.6943396226415,2.55471698113208,35.1735849056604
"NOR",6.7250800496331,2020,0,1.65713090853975,131.877700271622,0.66629102388656,0.013,0.0850864731919703,9.3210960294881,0,5379475,33.4353596771758,13.5808900722214,36.4666666666667,0.733333333333333,35.2666666666667,0.266666666666667,19.2
"NZL",6.16079918274331,2020,3.2931398353012,3.76181036285541,24.18615362551,8.11843057663769,0.144908863749524,1.02757325874337,2.28682585614999,0,5090200,37.5701264669021,11.3098981651036,28.2857142857143,0,21.2142857142857,0.892857142857143,23.7857142857143
"PAK",0.81036021551031,2020,29.3194843267326,17.5174862277227,47.2961959999999,2.675689,1.030267,34.5135174455444,3.190669,9.909005,227196741,4.83330738895807,6.45640716661394,184.2,2.33333333333333,92.9714285714286,2.4,178.771428571429
"PER",1.39856601861908,2020,0.615938922354751,17.6857269022152,30.404423155,0.582495730764,0.78313451202,0,1.81203395895999,0,33304756,56.5081015625,10.9495467393979,38.8695652173913,0.91304347826087,11.3695652173913,1.58695652173913,38.6630434782609
"PHL",1.18967945167284,2020,49.1633522365749,16.915422770791,7.70206077,11.4378032,1.34034212999999,10.7294034516339,1.00423456,0,112190977,24.1090317604051,12.9361499491434,69.6044568245125,1.0974930362117,22.7994428969359,1.90807799442897,69.4289693593315
"POL",7.36756337292709,2020,109.902978854999,16.417075985,2.02153997499999,6.830628126,2.07948152,4.451525611,15.685265821,0,37899070,30.9770358997811,11.0646124928818,50.4817073170732,0.920731707317073,34.0609756097561,1.35365853658537,47.4268292682927
"PRT",3.78490758691711,2020,3.060999608,17.31712353,12.609540093,4.214988091,1.44886303799999,1.035214457,12.319788009,0,10297081,36.154994891142,1.55050719542476,33.7162162162162,0.581081081081081,30.9189189189189,2.08108108108108,25.2027027027027
"ROU",3.56413750145988,2020,9.369023088,9.98384199699999,15.362288084,0.565383668999999,1.766310735,0.704881999999999,6.962612688,11.483331795,19265250,30.1158292767733,6.03697216475646,55.3516483516484,1.01098901098901,39.7362637362637,0.725274725274725,53.3076923076923
"RUS",11.2322880672434,2020,155.000397377825,442.023045383394,209.54492,3.73,1.67466999999999,9.56490723877999,1.34284,202.44301,144073139,49.7843360788722,8.47395994872301,42.2272215973003,1.03374578177728,33.5973003374578,1.05961754780652,34.2744656917885
"SGP",7.68668370206727,2020,0,33.8447813646558,0,1.22132509208676,0.431026004303126,14.4785550288846,0,0,5685807,21.6852367688022,26.1316874037038,91,1,29,4,91
"SRB",6.71451717217514,2020,24.8642486666666,0,9.63154,0.166709,0.014,0,0.848,0,6899126,32.3778094898323,5.6015350994066,69.2222222222222,1,40,0.851851851851852,68.7777777777778
"SVK",5.31905480792852,2020,1.97660586599999,3.764069874,4.752158622,2.06868021,0.604426473999999,0,0.0099561427,15.438403972,5458827,40.05615640599,4.90016323490689,67.84,1,40.28,0.8,67.84
"SVN",5.93473517885826,2020,4.377792259,0.597411867,5.066984503,0.285030094,0.289433575,0.012634217,0.006232987,6.32852333999999,2102419,61.4722591923085,11.5973096460067,72.2,1.13333333333333,39.5333333333333,1.46666666666667,71.1333333333333
"SWE",3.24298914312747,2020,0.335,0.385,74.153694626,10.689011506,0.407,2.937,27.283546349,50.225455665,10353442,68.6990703076107,19.6410057135243,36.8913043478261,0.652173913043478,35.0434782608696,0.326086956521739,23.3695652173913
"THA",3.71425580600412,2020,34.672660533935,106.874401465726,4.59955,18.411664942,4.885,0.709522109338559,3.324,0,71475664,38.8987844741529,9.88861440222553,53.73125,0.6125,23.175,0.81875,53.59375
"TJK",0.977533024275801,2020,0,0,18.48931,0,0,1.41658,0,0,9543207,3.0535341162908,16.4395860545753,111.615384615385,1,45.3076923076923,0.153846153846154,111.615384615385
"TUN",2.4086225282388,2020,0,18.7079466666666,0.06534,0,0.174,0,0.5,0,12161723,4.52323635427395,-4.1037319415643,51,1,50,1,36
"TUR",4.8858639260833,2020,98.9153357311129,66.7168776666418,77.22444977,13.7084864,10.7092390679999,0.578455862245173,24.31808577,0,83384680,28.8714836999597,13.0553078261866,52.2478632478633,0.897435897435897,40.7606837606838,0.316239316239316,45.8290598290598
"UKR",3.75381618922792,2020,37.7493797430378,10.6108449468243,7.112412,0.285,0.998,1.93893531013786,4.92967,69.872519,44132049,16.7241974456334,-0.954187735039662,51.0608108108108,1,38.0608108108108,0.52027027027027,43.0945945945946
"URY",1.89971905049917,2020,0,0.110805721302919,4.06712749811578,2.72075577499999,0.4578811275,0.68995871193708,5.434975742,0,3429086,11.6043880699349,13.9795723410772,26,0.217391304347826,18.0434782608696,1,21.695652173913
"USA",13.0328279519898,2020,773.80552797,1629.23680607,285.78964445,72.98492314,132.63048399,28.9471895299999,336.53333117,789.918631,331511512,33.8669264120375,5.69015783378962,59.8313100657562,1.51188669701568,27.832827516439,8.48280222559434,58.1861406170966
"VNM",3.67644008813984,2020,141.45385635371,41.8275339998729,68.2154076681,0.126,13.4748,1.10939788044444,0.9728,0,96648685,46.7190017515929,19.8871574483186,88.5714285714286,2.14285714285714,48.7142857142857,1.71428571428571,83.4285714285714
"ZAF",6.68756314737781,2020,190.609977321491,1.7232731671411,1.161303,0.449446679819,5.69310330252399,5.12896671751909,6.62517634920099,11.531813,58801927,14.055090718743,-2.53622105825838,113.556603773585,5.59433962264151,15.8301886792453,7.0188679245283,113.556603773585
